Scenario,Sector,Fuel,Region,2020,2025,2030,2035,2040,2045,2050
BIO,Transport,Fossil (LF),HBY,2214.7,1848.22,1425.88,813.81,289.15,64.07,0.0
BIO,Transport,Fossil (LF),NEL,2535.63,2143.51,1690.97,998.74,379.57,90.5,0.0
BIO,Transport,Fossil (LF),NIS,2156.65,1759.29,1303.98,691.42,209.51,37.22,0.0
BIO,Transport,Fossil (LF),OTG,4640.64,3835.08,2911.07,1611.61,538.27,110.52,0.0
BIO,Transport,Fossil (LF),TRN,1518.34,1255.33,953.2,527.91,176.71,36.37,0.0
BIO,Transport,Fossil (LF),WEL,5253.65,4403.22,3441.29,1987.01,721.69,164.24,0.0
BIO,Transport,Fossil (LF),WTO,5516.81,4517.41,3374.0,1812.02,565.9,105.58,0.0
BIO,Transport,Fossil (gas),AKL,0.0,0.0,0.0,8.15,8.7,5.91,0.0
BIO,Transport,Fossil (gas),BOP,0.0,0.0,0.0,13.43,14.33,9.73,0.0
BIO,Transport,Fossil (gas),CAN,0.0,0.0,0.0,4.08,4.36,2.96,0.0
BIO,Transport,Fossil (gas),CEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO,Transport,Fossil (gas),GIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO,Transport,Fossil (gas),HBY,0.0,0.0,0.0,2.53,2.7,1.83,0.0
BIO,Transport,Fossil (gas),NEL,0.0,0.0,0.0,0.55,0.59,0.4,0.0
BIO,Transport,Fossil (gas),NIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO,Transport,Fossil (gas),OTG,0.0,0.0,0.0,2.22,2.36,1.6,0.0
BIO,Transport,Fossil (gas),TRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO,Transport,Fossil (gas),WEL,0.0,0.0,0.0,0.99,1.06,0.72,0.0
BIO,Transport,Fossil (gas),WTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO,Transport,Hydrogen,AKL,0.01,0.0,0.0,3.01,4.69,5.21,5.11
BIO,Transport,Hydrogen,BOP,0.0,0.0,0.0,0.84,1.32,1.46,1.43
BIO,Transport,Hydrogen,CAN,0.01,0.0,0.0,2.01,3.14,3.49,3.42
BIO,Transport,Hydrogen,CEN,0.0,0.0,0.0,0.77,1.2,1.33,1.3
BIO,Transport,Hydrogen,GIS,0.0,0.0,0.0,0.16,0.24,0.27,0.27
BIO,Transport,Hydrogen,HBY,0.0,0.0,0.0,0.51,0.79,0.88,0.86
BIO,Transport,Hydrogen,NEL,0.0,0.0,0.0,0.52,0.83,0.91,0.89
BIO,Transport,Hydrogen,NIS,0.0,0.0,0.0,0.54,0.84,0.94,0.92
BIO,Transport,Hydrogen,OTG,0.0,0.0,0.0,1.05,1.64,1.82,1.79
BIO,Transport,Hydrogen,TRN,0.0,0.0,0.0,0.35,0.55,0.61,0.6
BIO,Transport,Hydrogen,WEL,0.0,0.0,0.0,0.75,1.17,1.3,1.27
BIO,Transport,Hydrogen,WTO,0.01,0.0,0.0,1.3,2.02,2.24,2.2
ELEC,Heat,Biofuel (LF),AKL,1.0,0.99,1.77,1.73,0.84,0.26,0.0
ELEC,Heat,Biofuel (LF),BOP,0.17,0.17,0.3,0.3,0.14,0.05,0.0
ELEC,Heat,Biofuel (LF),CAN,1.89,1.87,3.33,3.27,1.59,0.5,0.0
ELEC,Heat,Biofuel (LF),CEN,0.15,0.15,0.27,0.26,0.13,0.04,0.0
ELEC,Heat,Biofuel (LF),GIS,0.01,0.01,0.02,0.02,0.01,0.0,0.0
ELEC,Heat,Biofuel (LF),HBY,0.43,0.42,0.75,0.74,0.36,0.11,0.0
ELEC,Heat,Biofuel (LF),NEL,1.14,1.14,2.01,1.98,0.96,0.3,0.0
ELEC,Heat,Biofuel (LF),NIS,0.04,0.04,0.07,0.07,0.04,0.01,0.0
ELEC,Heat,Biofuel (LF),OTG,0.11,0.11,0.21,0.2,0.1,0.03,0.0
ELEC,Heat,Biofuel (LF),WEL,0.03,0.03,0.06,0.06,0.03,0.01,0.0
ELEC,Heat,Biofuel (LF),WTO,0.77,0.76,1.36,1.33,0.65,0.2,0.0
ELEC,Heat,Biofuel (gas),AKL,0.0,0.0,22.86,24.37,14.8,3.02,0.0
ELEC,Heat,Biofuel (gas),BOP,0.0,0.0,7.01,7.73,4.69,0.96,0.0
ELEC,Heat,Biofuel (gas),CAN,0.0,0.0,50.3,57.81,35.1,7.16,0.0
ELEC,Heat,Biofuel (gas),CEN,0.0,0.0,24.2,27.91,16.94,3.45,0.0
ELEC,Heat,Biofuel (gas),GIS,0.0,0.0,0.59,0.62,0.38,0.08,0.0
ELEC,Heat,Biofuel (gas),HBY,0.0,0.0,6.74,7.63,4.63,0.94,0.0
ELEC,Heat,Biofuel (gas),NEL,0.0,0.0,3.64,4.05,2.46,0.51,0.0
ELEC,Heat,Biofuel (gas),NIS,0.0,0.0,6.96,7.86,4.77,0.97,0.0
ELEC,Heat,Biofuel (gas),OTG,0.0,0.0,28.86,33.25,20.18,4.12,0.0
ELEC,Heat,Biofuel (gas),TRN,0.0,0.0,55.86,65.07,39.5,8.05,0.0
ELEC,Heat,Biofuel (gas),WEL,0.0,0.0,2.55,2.26,1.37,0.28,0.0
ELEC,Heat,Biofuel (gas),WTO,0.0,0.0,29.72,34.04,20.66,4.21,0.0
ELEC,Heat,Coal,AKL,261.05,112.64,59.18,0.83,0.17,0.04,0.0
ELEC,Heat,Coal,BOP,64.39,33.63,21.17,4.48,0.93,0.22,0.0
ELEC,Heat,Coal,CAN,2359.4,1989.91,1627.64,718.95,148.9,35.95,0.0
ELEC,Heat,Coal,CEN,38.24,16.33,8.48,0.0,0.0,0.0,0.0
ELEC,Heat,Coal,GIS,7.7,3.29,1.71,0.0,0.0,0.0,0.0
ELEC,Heat,Coal,HBY,28.98,13.35,7.52,0.71,0.15,0.04,0.0
ELEC,Heat,Coal,NEL,154.19,122.46,97.84,41.43,8.58,2.07,0.0
ELEC,Heat,Coal,NIS,652.08,549.69,449.54,198.5,41.11,9.92,0.0
ELEC,Heat,Coal,OTG,1842.12,1565.96,1284.66,570.36,118.12,28.51,0.0
ELEC,Heat,Coal,TRN,18.85,8.05,4.18,0.0,0.0,0.0,0.0
ELEC,Heat,Coal,WEL,83.72,37.16,20.14,1.02,0.21,0.05,0.0
ELEC,Heat,Coal,WTO,225.65,161.82,123.62,47.9,9.92,2.39,0.0
ELEC,Heat,E-fuel (LF),AKL,0.0,0.0,1.77,8.67,18.28,11.92,0.0
ELEC,Heat,E-fuel (LF),BOP,0.0,0.0,0.3,1.48,3.12,2.04,0.0
ELEC,Heat,E-fuel (LF),CAN,0.0,0.0,3.33,16.34,34.44,22.45,0.0
ELEC,Heat,E-fuel (LF),CEN,0.0,0.0,0.27,1.31,2.76,1.8,0.0
